"requirement_id","claim_object","applies_to","minimum_image_evidence"
"REQ_CAR_001","car","dent or scratch","At least one image showing the affected panel or part with the damage visible. Close-up preferred."
"REQ_CAR_002","car","crack or shatter","At least one image showing the cracked or shattered component. Close-up of crack lines required."
"REQ_CAR_003","car","broken part or missing part","At least one image showing the damaged or missing part. Wide-angle context image helpful."
"REQ_CAR_004","car","hail damage","At least one image of the affected panel showing multiple small dents or impact marks."
"REQ_CAR_005","car","glass damage","At least one image of the glass surface. Close-up showing crack pattern required."
"REQ_LAPTOP_001","laptop","crack or shatter","At least one image showing the cracked component. Close-up of the crack lines preferred."
"REQ_LAPTOP_002","laptop","dent or scratch","At least one image showing the affected part with visible damage."
"REQ_LAPTOP_003","laptop","liquid damage or stain","At least one image showing staining or liquid residue on the affected part."
"REQ_LAPTOP_004","laptop","broken part or missing part","At least one image showing the broken or missing component from an angle that confirms absence or breakage."
"REQ_PKG_001","package","crushed or torn packaging","At least one image showing the damaged packaging area. Close-up of crushed or torn region required."
"REQ_PKG_002","package","water damage","At least one image showing visible staining, wetness marks, or discoloration consistent with water exposure."
"REQ_PKG_003","package","missing contents","At least one image showing the open package interior clearly enough to determine if contents are absent."
"REQ_PKG_004","package","label damage","At least one image showing the label area clearly enough to assess readability."
"REQ_PKG_005","package","stain","At least one image showing the stained area of the package."
"REQ_ALL_001","all","general","Images must show the claimed object. Images that show a different object type do not satisfy any requirement."
"REQ_ALL_002","all","general","Blurry, dark, or heavily obstructed images may not satisfy minimum evidence requirements on their own."
