"user_id","past_claim_count","accept_claim","manual_review_claim","rejected_claim","last_90_days_claim_count","history_flags","history_summary"
"user_001","2","2","0","0","1","none","Two prior accepted claims. Low risk."
"user_002","3","2","1","0","1","none","Mostly accepted. One manual review. Low risk."
"user_003","4","2","1","1","2","none","Mixed history. One rejection. Moderate risk."
"user_004","5","3","1","1","2","none","Active claimant. One rejection. Moderate risk."
"user_005","8","3","2","3","3","severity_exaggeration;repeated_rejections","Multiple rejections. Severity exaggeration pattern detected."
"user_006","2","1","1","0","1","none","Low volume. One manual review."
"user_007","6","4","1","1","2","none","Mostly accepted. One rejection. Moderate risk."
"user_008","7","3","2","2","3","possible_manipulation;manual_review_required","Two rejections and manipulation flag in prior review."
"user_009","1","1","0","0","1","none","First claim. Low risk."
"user_010","3","2","1","0","1","none","Low volume. One manual review."
"user_011","4","2","2","0","2","instruction_injection_attempt","Attempted to include instructions in claim to bypass review."
"user_012","2","2","0","0","1","none","Fully accepted history. Low risk."
"user_013","1","1","0","0","1","none","First claim. Low risk."
"user_014","3","1","2","0","2","non_original_image_flag","Suspected non-original image in prior claim."
"user_015","2","2","0","0","1","none","Clean history. Low risk."
"user_016","4","3","1","0","2","none","Mostly accepted. Low risk."
"user_017","1","1","0","0","1","none","First claim. Low risk."
"user_018","5","2","2","1","3","repeated_package_claims","Multiple package claims in short period."
"user_019","2","2","0","0","1","none","Clean history. Low risk."
"user_020","4","2","2","0","2","manual_review_required","Two manual reviews in history."
"user_021","1","1","0","0","1","none","First claim. Low risk."
"user_022","2","2","0","0","1","none","Clean history. Low risk."
"user_023","3","2","0","1","1","none","One rejection."
"user_024","2","2","0","0","1","none","Clean history."
"user_025","3","2","1","0","1","none","One manual review."
"user_026","1","1","0","0","1","none","First claim."
"user_027","2","2","0","0","1","none","Clean history."
"user_028","2","1","1","0","1","none","One manual review."
"user_029","3","2","1","0","1","none","Low risk."
"user_030","4","2","1","1","2","repeated_package_claims","Multiple package claims."
"user_031","5","2","2","1","3","repeated_package_claims;manual_review_required","Multiple package claims needing review."
"user_032","3","1","1","1","2","none","One rejection."
"user_033","4","2","1","1","2","severity_exaggeration","Severity exaggeration in prior claim."
"user_034","6","3","2","1","3","non_original_image_flag;instruction_injection_attempt","Prior image authenticity concern and instruction injection attempt."
"user_035","2","2","0","0","1","none","Clean history."
"user_036","3","1","2","0","2","instruction_injection_attempt","Attempted to use image text to influence decision."
"user_037","5","2","1","2","3","repeated_rejections;escalation_threat","Two rejections. Made escalation threats."
"user_038","2","2","0","0","1","none","Clean history."
"user_039","2","2","0","0","1","none","Clean history."
"user_040","4","1","1","2","3","repeated_rejections;instruction_injection_attempt","Rejections and prompt injection attempt in recent claim."
"user_041","3","2","1","0","2","none","One manual review. Low risk."
"user_042","3","2","1","0","2","none","One manual review."
"user_043","2","2","0","0","1","none","Clean history."
"user_044","2","1","1","0","1","none","One manual review."
"user_045","4","2","2","0","2","none","Two manual reviews."
"user_046","2","2","0","0","1","none","Clean history."
"user_047","2","2","0","0","1","none","Clean history."
